city,lat,lng,country,admin
Saint Petersburg,59.9375,30.3086,Russia,admin
Jieyang,23.551,116.3727,China,admin
Dezhou,37.436,116.359,China,admin
Guadalajara,20.6767,-103.3475,Mexico,admin
Tai'an,36.202,117.087,China,admin
Dazhou,31.2093,107.4678,China,admin
Belo Horizonte,-19.9281,-43.9419,Brazil,admin
Suzhou,33.648,116.964,China,admin
Monterrey,25.6844,-100.3181,Mexico,admin
Yongzhou,26.42,111.613,China,admin
Changde,29.031,111.699,China,admin
Xiangyang,32.01,112.122,China,admin
Pudong,31.2347,121.5064,China,admin
Zhaotong,27.338,103.717,China,admin
Zhangzhou,24.513,117.647,China,admin
Yueyang,29.3647,113.1309,China,admin
Melbourne,-37.8142,144.9631,Australia,admin
Yichun,27.816,114.417,China,admin
Guilin,25.275,110.296,China,admin
Pingdingshan,33.7666,113.1926,China,admin
Alexandria,31.1975,29.8925,Egypt,admin
Bozhou,33.8463,115.7786,China,admin
Sydney,-33.8667,151.2,Australia,admin
Yuncheng,35.0267,111.007,China,admin
Cape Town,-33.9253,18.4239,South Africa,admin
Changsha,28.228,112.939,China,admin
Suqian,33.963,118.275,China,admin
Jeddah,21.5428,39.1728,Saudi Arabia,admin
Weinan,34.5206,109.471,China,admin
Berlin,52.52,13.405,Germany,admin
Chenzhou,25.77,113.016,China,admin
Jiangmen,22.5789,113.0815,China,admin
Mianyang,31.468,104.679,China,admin
Jiujiang,29.661,115.954,China,admin
Huaihua,27.5698,110.0016,China,admin
Huanglongsi,34.795,114.345,China,admin
Taizhou,32.4567,119.9229,China,admin
Belahi,26.4,86.25,India,admin
Yibin,28.752,104.643,China,admin
Ji'an,27.0912,114.9668,China,admin
Yangzhou,32.3944,119.4128,China,admin
Kunming,25.0464,102.7094,China,admin
Changchun,43.897,125.326,China,admin
Lu'an,31.736,116.52,China,admin
Xinpu,34.5966,119.2214,China,admin
Langfang,39.5383,116.6835,China,admin
Urumqi,43.8225,87.6125,China,admin
Suzhou,31.3,120.6194,China,admin
Guigang,23.112,109.599,China,admin
Shantou,23.354,116.682,China,admin
Jiangguanchi,34.037,113.852,China,admin
Xiaoganzhan,30.918,113.957,China,admin
Luzhou,28.871,105.442,China,admin
Hefei,31.8206,117.2273,China,admin
Hengshui,37.739,115.669,China,admin
Fortaleza,-3.7275,-38.5275,Brazil,admin
Anqing,30.5318,117.1153,China,admin
Zhangjiakou,40.769,114.886,China,admin
Zhaoqing,23.05,112.4667,China,admin
Shijiazhuang,38.0425,114.51,China,admin
Ningbo,29.8603,121.6245,China,admin
Qiqihar,47.3549,123.9182,China,admin
Liuzhou,24.3278,109.4278,China,admin
Chifeng,42.255,118.8825,China,admin
Xiaoxita,30.692,111.287,China,admin
Linfen,36.088,111.519,China,admin
Xianyang,34.3299,108.7088,China,admin
Chuzhou,32.256,118.333,China,admin
Kumasi,6.7,-1.625,Ghana,admin
Zhuzhou,27.829,113.133,China,admin
Taiyuan,37.8704,112.5497,China,admin
Qingyuan,23.682,113.056,China,admin
Meizhou,24.289,116.122,China,admin
Yiyang,28.5549,112.356,China,admin
Nanning,22.8167,108.3275,China,admin
Harbin,45.7576,126.6409,China,admin
Loudi,27.6998,111.9944,China,admin
Yokohama,35.4442,139.6381,Japan,admin
Suihua,46.654,126.969,China,admin
Binzhou,37.383,117.971,China,admin
Zaozhuang,34.8109,117.3238,China,admin
Xiamen,24.4796,118.0889,China,admin
Montreal,45.5089,-73.5617,Canada,admin
Fuzhou,26.0743,119.2964,China,admin
Wuhu,31.3526,118.4331,China,admin
Medan,3.5894,98.6739,Indonesia,admin
Yulinshi,38.2858,109.7341,China,admin
Fuzhou,27.949,116.358,China,admin
Wenzhou,27.9938,120.6993,China,admin
Changzhou,31.811,119.974,China,admin
Puyang,35.7627,115.0292,China,admin
Nanchang,28.683,115.858,China,admin
Baicheng,23.903,106.619,China,admin
Jiaozuo,35.2157,113.2419,China,admin
Nadampalaiyam,11.0125,76.9714,India,admin
Deyang,31.127,104.398,China,admin
Busan,35.18,129.075,"Korea, South",admin
Hechi,24.693,108.085,China,admin
Tangshan,39.6294,118.1739,China,admin
Lucknow,26.85,80.95,India,admin
Boankra,6.6919,-1.4051,Ghana,admin
Dubai,25.2631,55.2972,United Arab Emirates,admin
Anshan,41.108,122.994,China,admin
Guozhen,34.3609,107.1751,China,admin
Baojishi,34.363,107.238,China,admin
Qinzhou,21.981,108.654,China,admin
Guiyang,26.647,106.63,China,admin
Wuxi,31.5667,120.2833,China,admin
Kannankulam,10.52,76.21,India,admin
Kotla Qasim Khan,32.5833,73.75,Pakistan,admin
Casablanca,33.5333,-7.5833,Morocco,admin
Hanzhong,33.0664,107.0232,China,admin
Shiyan,32.629,110.7987,China,admin
Guang'an,30.4564,106.6326,China,admin
Faisalabad,31.4167,73.0911,Pakistan,admin
Changzhi,36.195,113.117,China,admin
Tongren,27.7316,109.1895,China,admin
Bengbu,32.917,117.389,China,admin
Leshan,29.552,103.766,China,admin
Neijiang,29.5802,105.058,China,admin
Zhenjiang,32.188,119.424,China,admin
Qinhuangdao,39.8882,119.5202,China,admin
Bursa,40.1833,29.05,Turkey,admin
Guayaquil,-2.19,-79.8875,Ecuador,admin
Jaipur,26.9,75.8,India,admin
Lanzhou,36.0606,103.8268,China,admin
Athens,37.9842,23.7281,Greece,admin
Qincheng,34.5815,105.7248,China,admin
Izmir,38.42,27.14,Turkey,admin
Quezon City,14.65,121.0475,Philippines,admin
Kyiv,50.45,30.5233,Ukraine,admin
Kottarassheri,10.775,76.651,India,admin
Meishan,30.0771,103.8484,China,admin
Incheon,37.4833,126.6333,"Korea, South",admin
Ningde,26.6662,119.5477,China,admin
Zhongshan,22.517,113.3925,China,admin
Putian,25.4526,119.0078,China,admin
Tongliao,43.654,122.243,China,admin
Chaoyang,41.571,120.453,China,admin
Hohhot,40.842,111.749,China,admin
Shaoguan,24.811,113.597,China,admin
Taichung,24.1439,120.6794,Taiwan,admin
Cali,3.4206,-76.5222,Colombia,admin
Heyuan,23.7443,114.7002,China,admin
Wuzhou,23.4767,111.279,China,admin
Pretoria,-25.7461,28.1881,South Africa,admin
Suining,30.533,105.593,China,admin
Weihai,37.5133,122.1205,China,admin
Rizhao,35.417,119.527,China,admin
Malang,-7.98,112.62,Indonesia,admin
Stuttgart,48.7775,9.18,Germany,admin
Daqing,46.589,125.104,China,admin
Rome,41.8931,12.4828,Italy,admin
Kaohsiung,22.615,120.2975,Taiwan,admin
Xiangtan,27.8313,112.9454,China,admin
Bazhou,31.868,106.748,China,admin
Handan,36.601,114.487,China,admin
Brisbane,-27.4678,153.0281,Australia,admin
Jinzhou,41.129,121.148,China,admin
Xinzhou,38.416,112.734,China,admin
Nanping,26.6418,118.1774,China,admin
Gazipura,23.9234,90.3959,Bangladesh,admin
Shanwei,22.7872,115.3756,China,admin
Chaozhou,23.658,116.622,China,admin
Baotou,40.6213,109.9532,China,admin
Longyan,25.076,117.017,China,admin
Weifang,36.708,119.162,China,admin
Huai'an,33.551,119.113,China,admin
Zibo,36.8138,118.055,China,admin
Attadappa,11.8689,75.3555,India,admin
Munich,48.1375,11.575,Germany,admin
Gulou,26.0865,119.298,China,admin
Chattogram,22.335,91.8325,Bangladesh,admin
Yangjiang,21.857,111.983,China,admin
Barmhan Kalan,19.1972,72.9722,India,admin
Medellin,6.2308,-75.5906,Colombia,admin
Dingxi,35.608,104.592,China,admin
Shaoxing,30.0511,120.5833,China,admin
Yantai,37.4646,121.4478,China,admin
Huizhou,23.112,114.416,China,admin
Xuanzhou,30.939,118.759,China,admin
Mirzapur,25.146,82.569,India,admin
Hamburg,53.55,10,Germany,admin
Taipei,25.0375,121.5625,Taiwan,admin
Ankang,32.6854,109.029,China,admin
Zigong,29.339,104.779,China,admin
Sanming,26.2634,117.6389,China,admin
Toluca,19.2925,-99.6569,Mexico,admin
Huangshi,30.2011,115.039,China,admin
Zhuhai,22.2742,113.5719,China,admin
Huludao,40.711,120.837,China,admin
Baoshan,25.112,99.161,China,admin
Mecca,21.4225,39.8261,Saudi Arabia,admin
Vancouver,49.25,-123.1,Canada,admin
Lianshan,40.7523,120.828,China,admin
Salvador,-12.9831,-38.4928,Brazil,admin
Bucharest,44.4325,26.1039,Romania,admin
Longba,33.3702,104.9603,China,admin
Nagpur,21.1497,79.0806,India,admin
Tieling,42.2237,123.726,China,admin
Yunfu,22.9152,112.0445,China,admin
Bekasi,-6.2333,107,Indonesia,admin
Daegu,35.8717,128.6017,"Korea, South",admin
Ghaziabad,28.67,77.42,India,admin
Luoyang,34.6197,112.4539,China,admin
Luohe,33.5804,114.0166,China,admin
Anshun,26.2531,105.9476,China,admin
Huainan,32.6314,117.0194,China,admin
Depok,-6.394,106.8225,Indonesia,admin
Konya,37.8667,32.4833,Turkey,admin
Haiphong,20.8651,106.6838,Vietnam,admin
Yanjiang,30.129,104.627,China,admin
Guangyuan,32.436,105.844,China,admin
Baku,40.3667,49.8352,Azerbaijan,admin
Yingkou,40.625,122.219,China,admin
Mudanjiang,44.5514,129.6329,China,admin
Fukuoka,33.59,130.4017,Japan,admin
Nantong,31.981,120.894,China,admin
Lincang,23.884,100.089,China,admin
Haikou,20.0186,110.3488,China,admin
Yuxi,24.347,102.527,China,admin
Tangerang,-6.1703,106.6403,Indonesia,admin
Supaul,26.126,86.605,India,admin
Almaty,43.24,76.915,Kazakhstan,admin
Vienna,48.2083,16.3725,Austria,admin
Xining,36.6224,101.7804,China,admin
Jincheng,35.491,112.852,China,admin
Dandong,40.1167,124.3833,China,admin
Yan'an,36.65,109.494,China,admin
Qinbaling,35.7091,107.6436,China,admin
Gaoping,30.7824,106.1281,China,admin
Taizhou,28.6557,121.4208,China,admin
Ma'anshan,31.669,118.507,China,admin
Jiamusi,46.8,130.319,China,admin
Perth,-31.9558,115.8597,Australia,admin
Gaziantep,37.0628,37.3792,Turkey,admin
Lishui,28.468,119.923,China,admin
Cordoba,-31.4167,-64.1833,Argentina,admin
Zamboanga City,6.9042,122.0761,Philippines,admin
Rawalpindi,33.6,73.0333,Pakistan,admin
Chongzuo,22.377,107.365,China,admin
Laibin,23.7501,109.2212,China,admin
Vadodara,22.3,73.2,India,admin
Qingyang,24.7816,118.5517,China,admin
Rajkot,22.3,70.7833,India,admin
Shangzhou,33.8734,109.9186,China,admin
Vishakhapatnam,17.7042,83.2978,India,admin
Shengli,37.434,118.6746,China,admin
Sanmenxia,34.7732,111.2004,China,admin
Warsaw,52.23,21.0111,Poland,admin
Gujranwala,32.1567,74.19,Pakistan,admin
Hezhou,24.4042,111.5672,China,admin
Tijuana,32.525,-117.0333,Mexico,admin
Puning,23.298,116.166,China,admin
Indore,22.7167,75.8472,India,admin
Huaibei,33.956,116.798,China,admin
Peshawar,34.0144,71.5675,Pakistan,admin
Sapporo,43.0619,141.3544,Japan,admin
Tilburg,51.5572,5.0911,Netherlands,admin
Davao,7.07,125.6,Philippines,admin
Songjiang,31.0058,121.2333,China,admin
Yinchuan,38.485,106.225,China,admin
Abhepur,39.41,116.38,India,admin
Thane,19.1972,72.9722,India,admin
Multan,30.1978,71.4697,Pakistan,admin
Fushun,41.881,123.957,China,admin
Tainan,22.9833,120.1833,Taiwan,admin
Pingliang,35.5424,106.6649,China,admin
Siping,43.1668,124.3506,China,admin
Pingxiang,27.659,113.887,China,admin
Bhopal,23.2599,77.4126,India,admin
Diyarbakir,37.91,40.24,Turkey,admin
Curitiba,-25.4297,-49.2719,Brazil,admin
Shuyangzha,34.1299,118.7734,China,admin
Adana,37,35.3213,Turkey,admin
Quito,-0.22,-78.5125,Ecuador,admin
Agra,27.18,78.02,India,admin
Peyanvilai,8.9,77.9833,India,admin
Hyderabad City,25.3792,68.3683,Pakistan,admin
Pimpri-Chinchwad,18.6186,73.8037,India,admin
Budapest,47.4983,19.0408,Hungary,admin
Patna,25.594,85.1376,India,admin
Beihai,21.481,109.12,China,admin
Sanzhou,30.82,108.4,China,admin
Ximeicun,24.9612,118.3849,China,admin
Caloocan City,14.65,120.97,Philippines,admin
Ecatepec,19.6097,-99.06,Mexico,admin
Yushan,31.322,120.985,China,admin
Fuxin,42.022,121.67,China,admin
Novosibirsk,55.05,82.95,Russia,admin
Bilaspur,22.09,82.15,India,admin
Semarang,-6.99,110.4225,Indonesia,admin
Jingdezhen,29.2917,117.1986,China,admin
Ludhiana,30.91,75.85,India,admin
Liaoyang,41.279,123.176,China,admin
Jiangyin,31.839,120.295,China,admin
Shuozhou,39.3317,112.4329,China,admin
Leon de los Aldama,21.1167,-101.6833,Mexico,admin
Puebla,19.0333,-98.1833,Mexico,admin
Bien Hoa,10.95,106.8167,Vietnam,admin
Chengtangcun,35.0833,117.15,China,admin
Hebi,35.748,114.297,China,admin
Madurai,9.9252,78.1198,India,admin
Huzhou,30.8925,120.0875,China,admin
Jamshedpur,22.7925,86.1842,India,admin
Baicheng,45.62,122.838,China,admin
San Jose,9.9325,-84.08,Costa Rica,admin
Shaoyang,32.912,119.8526,China,admin
Palembang,-2.9861,104.7556,Indonesia,admin
Kawasaki,35.5167,139.7,Japan,admin
Kobe,34.69,135.1956,Japan,admin
Jiaxing,30.747,120.756,China,admin
Zhangjiajie,29.117,110.479,China,admin
