city,sunset_likelihood_index_tdy,sunset_likelihood_index_tmr,sunset_possible_colors_tdy,sunset_possible_colors_tmr,sunset_afterglow_time_tdy,sunset_afterglow_time_tmr,sunset_cloud_base_lvl_tdy,sunset_cloud_base_lvl_tmr,sunset_geom_condition_LCL_used_tdy,sunset_geom_condition_LCL_used_tmr,sunset_cloud_present_tdy,sunset_cloud_present_tmr,sunset_total_aod550_tdy,sunset_total_aod550_tmr,sunset_dust_aod550_tdy,sunset_dust_aod550_tmr,sunset_time_tdy,sunrise_likelihood_index_tdy,sunrise_likelihood_index_tmr,sunrise_possible_colors_tdy,sunrise_possible_colors_tmr,sunrise_afterglow_time_tdy,sunrise_afterglow_time_tmr,sunrise_cloud_base_lvl_tdy,sunrise_cloud_base_lvl_tmr,sunrise_geom_condition_LCL_used_tdy,sunrise_geom_condition_LCL_used_tmr,sunrise_cloud_present_tdy,sunrise_cloud_present_tmr,sunrise_total_aod550_tdy,sunrise_total_aod550_tmr,sunrise_dust_aod550_tdy,sunrise_dust_aod550_tmr,sunrise_time_tdy
London,3,1,"('orange-red', 'dark-red', 'magenta')","('orange-red', 'dark-red', 'magenta')",0.0,0.0,107.66154506353958,729.3926245636043,False,False,True,True,0.10223013,0.1004717,0.0046784068,0.0045385514,2025-11-20 16:04:15.335129+00:00,23.0,2.0,"('orange-red', 'dark-red', 'magenta')","('orange-red', 'dark-red', 'magenta')",111.61030918074506,0.0,730.4795337285877,105.94302976207621,False,False,True,True,0.10223013162612915,0.10047169774770737,0.004678406752645969,0.004538551438599825,2025-11-20 07:27:33.913175+00:00
New_York,11,5,"('orange-yellow', 'golden-yellow', 'magenta')","('orange-red', 'dark-red', 'magenta')",0.0,0.0,6000.0,109.52157532463949,False,False,True,True,0.10223013,0.1004717,0.0046784068,0.0045385514,2025-11-20 16:33:50.367495-05:00,12.0,0.0,"('orange-yellow', 'golden-yellow', 'magenta')","('orange-red', 'dark-red', 'magenta')",0.0,0.0,5325.656947138705,110.303384739218,False,False,True,True,0.10223013162612915,0.10047169774770737,0.004678406752645969,0.004538551438599825,2025-11-20 06:49:14.768631-05:00
Tokyo,5,28,"('orange-yellow', 'golden-yellow', 'magenta')","('orange-red', 'dark-red', 'magenta')",0.0,98.92752347625287,2927.1077631400526,,False,True,True,False,0.10223013,0.1004717,0.0046784068,0.0045385514,2025-11-20 16:31:16.404337+09:00,,,"('none',)","('none',)",,,,,False,False,False,False,,,,,2025-11-20 06:21:59.314828+09:00
Sydney,59,5,"('golden-yellow', 'crimson', 'magenta')","('orange-red', 'dark-red', 'magenta')",116.19688082240725,0.0,6842.398196242411,,False,True,True,False,0.10223013,0.1004717,0.0046784068,0.0045385514,2025-11-20 19:40:48.712247+11:00,,,"('none',)","('none',)",,,,,False,False,False,False,,,,,2025-11-20 05:41:01.705759+11:00
Los_Angeles,19,6,"('orange-red', 'dark-red', 'magenta')","('orange-red', 'dark-red', 'magenta')",84.35876143749206,0.0,,,True,True,False,False,0.10223013,0.1004717,0.0046784068,0.0045385514,2025-11-20 16:46:12.443582-08:00,33.0,22.0,"('orange-red',)","('orange-red', 'dark-red', 'magenta')",99.31943721028573,85.27401983621637,2000.0,,False,True,True,False,0.10223013162612915,0.10047169774770737,0.004678406752645969,0.004538551438599825,2025-11-20 06:30:54.666091-08:00
