city,likelihood_index_tdy,likelihood_index_tmr,possible_colors_tdy,possible_colors_tmr,actual_afterglow_time_tdy,actual_afterglow_time_tmr,cloud_base_lvl_tdy,cloud_base_lvl_tmr,geom_condition_LCL_used_tdy,geom_condition_LCL_used_tmr,cloud_present_tdy,cloud_present_tmr,total_aod550_tdy,total_aod550_tmr,dust_aod550_tdy,dust_aod550_tmr,sunset_time_tdy
London,2,46,"('orange-red', 'dark-red', 'magenta')","('orange-yellow', 'golden-yellow', 'magenta')",0,236.36848285477447,722.5230454003439,6000.0,False,False,True,True,0.102669455,0.10067066,0.004021588,0.0038643128,2025-11-21 16:03:07.991704+00:00
New_York,0,0,"('orange-red', 'dark-red', 'magenta')","('orange-red', 'dark-red', 'magenta')",0,0.0,727.6059075000267,740.045962875425,False,False,True,True,0.102669455,0.10067066,0.004021588,0.0038643128,2025-11-20 16:33:50.367495-05:00
Tokyo,5,0,"('orange-red', 'dark-red', 'magenta')","('orange-red', 'dark-red', 'magenta')",0,0.0,,,True,True,False,False,0.102669455,0.10067066,0.004021588,0.0038643128,2025-11-21 16:30:47.239572+09:00
